
Carrera_SURDAO,Match_SIES,Score,Desercion_SIES_pct,Creditos_Acum,Capital_Recuperable,Universidad,Region,Codigo_Carrera,SCT_Transfer_pct
Ing. Civil Informática,Ingeniería Civil en Informática,95,40.5,208,2.5,USACH,Metropolitana,196,75
Psicología,Psicología,95,45.2,192,2.3,USACH,Metropolitana,12,60
Ciencias Exactas,Ciencias Exactas,95,59.5,232,2.8,USACH,Metropolitana,100,60
Técnico Construcción,Técnico en Construcción,95,40.0,200,2.4,UTEM,Metropolitana,305,80
Logística,Logística,95,35.0,160,1.9,DUOC UC,Valparaíso,410,65
Periodismo,Periodismo,95,42.0,180,2.1,USACH,Metropolitana,220,50
Administración Pública,Administración Pública,95,38.5,210,2.6,U. de Chile,Metropolitana,330,70
Pedagogía Matemática,Pedagogía en Matemáticas,95,47.0,190,2.2,UMCE,Metropolitana,150,60
Automatización Industrial,Automatización Industrial,95,28.0,160,1.8,IP ChileValora,Metropolitana,510,85
Gestión Ambiental,Gestion Ambiental,95,36.0,170,2.0,U. de Santiago,Metropolitana,440,65

